Data Ordine,Data Spedizione,Categoria,Sotto-Categoria,Vendite,Profitto,Regione,Provincia,Quantità
2026-01-21,2026-01-24,Arredamento,Complementi d'arredo,1868.48,493.73,Nord-Ovest,VA,3
2025-07-11,2025-07-13,Forniture per ufficio,Materiale artistico,1171.61,282.58,Isole,TP,4
2025-10-04,2025-10-10,Arredamento,Tavoli,2275.98,-31.41,Nord-Ovest,VA,3
2025-06-10,2025-06-15,Tecnologia,Macchine,5545.38,68.87,Nord-Ovest,MI,9
2025-11-10,2025-11-15,Forniture per ufficio,Materiale artistico,1726.76,-134.32,Nord-Ovest,GE,8
2025-01-22,2025-01-29,Tecnologia,Fotocopiatrici,2872.33,780.29,Nord-Ovest,MI,5
2025-09-10,2025-09-14,Forniture per ufficio,Carta,3772.19,273.28,Nord-Est,VR,5
2025-08-24,2025-08-26,Arredamento,Sedie,396.01,112.7,Centro,PG,8
2025-12-11,2025-12-14,Tecnologia,Macchine,660.32,-15.24,Centro,PG,1
2025-02-18,2025-02-20,Forniture per ufficio,Carta,2977.14,32.71,Isole,TP,4
2025-02-28,2025-03-07,Tecnologia,Macchine,2738.21,320.94,Nord-Est,VE,4
2025-06-19,2025-06-20,Tecnologia,Macchine,478.23,12.08,Centro,FI,3
2025-07-07,2025-07-09,Arredamento,Tavoli,4401.46,1293.76,Nord-Est,TN,8
2025-09-28,2025-10-05,Forniture per ufficio,Materiale artistico,2296.71,422.72,Sud,PA,9
2025-07-09,2025-07-10,Tecnologia,Macchine,411.21,-40.29,Isole,CA,2
2025-06-24,2025-06-25,Forniture per ufficio,Carta,3035.16,398.08,Nord-Ovest,TO,4
2025-02-20,2025-02-23,Tecnologia,Macchine,26.74,-0.4,Isole,TP,1
2025-12-30,2026-01-05,Arredamento,Complementi d'arredo,1718.02,73.37,Nord-Est,BO,2
2025-02-24,2025-02-28,Tecnologia,Macchine,6616.06,1826.62,Nord-Ovest,TO,9
2025-09-01,2025-09-03,Arredamento,Sedie,549.97,106.68,Sud,NA,4
2025-11-16,2025-11-17,Arredamento,Complementi d'arredo,2956.82,452.08,Isole,TP,4
2025-05-11,2025-05-13,Arredamento,Tavoli,64.34,-0.83,Isole,SS,1
2025-11-03,2025-11-09,Tecnologia,Macchine,4122.81,522.12,Centro,FI,5
2025-05-15,2025-05-19,Tecnologia,Macchine,1138.74,315.5,Centro,LI,2
2025-01-21,2025-01-27,Tecnologia,Fotocopiatrici,583.81,-40.71,Isole,AG,5
2025-11-25,2025-11-29,Arredamento,Complementi d'arredo,1382.41,-101.06,Centro,RM,6
2025-06-16,2025-06-21,Forniture per ufficio,Raccoglitori,1323.51,168.34,Sud,PA,7
2025-10-01,2025-10-05,Tecnologia,Macchine,2610.46,567.59,Isole,CA,6
2026-01-23,2026-01-26,Tecnologia,Fotocopiatrici,2884.55,-230.36,Nord-Est,VE,8
2025-03-30,2025-04-05,Arredamento,Complementi d'arredo,1451.95,211.39,Nord-Ovest,GE,6
2025-11-12,2025-11-13,Arredamento,Sedie,3751.38,-260.44,Nord-Est,VR,5
2025-01-14,2025-01-19,Tecnologia,Telefoni,1349.27,-89.22,Nord-Ovest,MI,6
2025-08-30,2025-09-02,Arredamento,Complementi d'arredo,710.44,37.22,Isole,SS,3
2025-09-22,2025-09-24,Arredamento,Librerie,290.24,-5.31,Isole,TP,1
2025-12-12,2025-12-18,Forniture per ufficio,Raccoglitori,3786.58,-329.19,Nord-Est,VE,7
2025-02-22,2025-03-01,Arredamento,Tavoli,3966.46,585.83,Sud,BA,6
2026-01-21,2026-01-28,Arredamento,Sedie,3654.38,765.33,Isole,TP,7
2025-12-06,2025-12-07,Tecnologia,Macchine,1102.72,132.62,Centro,RM,3
2025-04-02,2025-04-06,Forniture per ufficio,Materiale artistico,4956.76,244.78,Sud,CZ,8
2026-01-02,2026-01-03,Tecnologia,Accessori,1699.64,289.5,Nord-Ovest,GE,4
2025-09-21,2025-09-28,Forniture per ufficio,Raccoglitori,1723.2,-56.38,Sud,CZ,4
2025-02-04,2025-02-06,Arredamento,Tavoli,4099.03,789.45,Centro,FI,8
2025-07-25,2025-07-30,Arredamento,Librerie,553.68,47.53,Isole,SS,8
2025-03-22,2025-03-27,Tecnologia,Accessori,328.64,8.52,Isole,CA,3
2026-02-24,2026-03-02,Forniture per ufficio,Raccoglitori,5158.07,1185.27,Isole,CA,7
2025-02-19,2025-02-24,Arredamento,Librerie,5665.87,-29.14,Isole,SS,6
2025-12-26,2026-01-01,Arredamento,Librerie,4452.18,43.43,Nord-Est,VR,8
2026-01-23,2026-01-29,Forniture per ufficio,Materiale artistico,2495.76,462.06,Centro,PG,3
2025-01-02,2025-01-08,Tecnologia,Macchine,1076.67,181.35,Nord-Ovest,MI,3
2026-01-25,2026-02-01,Forniture per ufficio,Scaffalature,4725.79,30.11,Nord-Ovest,VA,6
2025-02-23,2025-03-02,Tecnologia,Accessori,3293.2,238.41,Centro,RM,7
2025-04-16,2025-04-20,Tecnologia,Telefoni,2668.13,181.27,Nord-Ovest,GE,3
2025-09-17,2025-09-20,Tecnologia,Accessori,375.04,25.22,Nord-Ovest,VA,2
2025-11-06,2025-11-12,Arredamento,Tavoli,5662.05,-447.55,Nord-Est,VE,7
2025-07-10,2025-07-16,Tecnologia,Macchine,750.88,174.25,Nord-Est,VR,3
2026-02-06,2026-02-09,Forniture per ufficio,Raccoglitori,1855.87,125.92,Nord-Ovest,VA,2
2025-08-06,2025-08-07,Forniture per ufficio,Scaffalature,29.49,7.17,Centro,LI,1
2025-02-13,2025-02-19,Tecnologia,Accessori,3897.3,458.63,Nord-Ovest,VA,4
2025-06-11,2025-06-15,Tecnologia,Fotocopiatrici,7249.27,361.66,Centro,PG,8
2025-07-21,2025-07-26,Forniture per ufficio,Scaffalature,237.35,6.41,Sud,CZ,1
2025-09-27,2025-10-02,Arredamento,Complementi d'arredo,1844.23,64.51,Isole,SS,4
2025-12-17,2025-12-19,Arredamento,Tavoli,2010.74,154.51,Nord-Est,BO,4
2025-10-31,2025-11-02,Tecnologia,Fotocopiatrici,712.56,91.78,Sud,PA,4
2025-09-28,2025-10-03,Arredamento,Librerie,2956.91,114.21,Sud,NA,4
2025-08-03,2025-08-08,Forniture per ufficio,Carta,323.88,18.38,Nord-Est,VE,6
2025-09-09,2025-09-16,Tecnologia,Accessori,1647.79,419.25,Isole,TP,6
2025-07-09,2025-07-13,Tecnologia,Macchine,1269.23,-4.81,Nord-Ovest,GE,3
2025-10-23,2025-10-26,Tecnologia,Fotocopiatrici,4992.03,-288.36,Nord-Ovest,VA,9
2025-08-01,2025-08-03,Arredamento,Complementi d'arredo,4067.07,33.58,Centro,RM,6
2025-07-27,2025-08-03,Forniture per ufficio,Raccoglitori,944.54,-30.58,Nord-Est,VE,7
2025-08-25,2025-09-01,Tecnologia,Macchine,4343.9,68.53,Centro,RM,5
2025-12-04,2025-12-07,Arredamento,Complementi d'arredo,1830.05,269.95,Nord-Est,BO,4
2026-01-02,2026-01-09,Arredamento,Complementi d'arredo,6614.46,810.11,Isole,TP,8
2025-02-22,2025-02-26,Tecnologia,Accessori,892.12,264.77,Nord-Est,TN,1
2025-10-07,2025-10-12,Arredamento,Librerie,1875.76,461.86,Sud,NA,7
2026-02-14,2026-02-20,Tecnologia,Accessori,1360.72,324.88,Centro,LI,2
2025-08-05,2025-08-08,Tecnologia,Accessori,3666.52,634.36,Centro,RM,6
2025-09-09,2025-09-14,Forniture per ufficio,Carta,342.17,29.3,Sud,BA,9
2025-07-07,2025-07-12,Forniture per ufficio,Materiale artistico,6017.09,-75.3,Nord-Ovest,MI,8
2026-01-15,2026-01-16,Arredamento,Tavoli,7672.12,-629.12,Isole,SS,9
2025-02-10,2025-02-13,Arredamento,Complementi d'arredo,8372.54,274.52,Nord-Est,TN,9
2025-06-06,2025-06-13,Forniture per ufficio,Raccoglitori,2460.78,-218.66,Nord-Est,TN,9
2025-01-15,2025-01-21,Forniture per ufficio,Raccoglitori,764.62,14.05,Centro,LI,4
2025-10-28,2025-10-31,Tecnologia,Telefoni,2926.72,367.5,Nord-Est,VE,5
2025-03-06,2025-03-13,Arredamento,Tavoli,2833.12,756.18,Isole,SS,8
2025-12-11,2025-12-16,Forniture per ufficio,Materiale artistico,2929.21,626.58,Sud,NA,4
2025-11-23,2025-11-29,Arredamento,Complementi d'arredo,840.78,122.58,Nord-Ovest,VA,1
2025-01-09,2025-01-16,Forniture per ufficio,Scaffalature,3342.99,513.1,Isole,TP,5
2025-12-10,2025-12-14,Forniture per ufficio,Scaffalature,671.75,82.38,Sud,CZ,1
2025-05-09,2025-05-16,Tecnologia,Accessori,4243.11,422.56,Sud,NA,9
2025-05-16,2025-05-17,Arredamento,Sedie,5140.52,1089.42,Centro,LI,7
2025-03-04,2025-03-09,Tecnologia,Fotocopiatrici,1108.39,1.99,Nord-Ovest,MI,3
2025-05-19,2025-05-26,Forniture per ufficio,Carta,2297.72,243.06,Isole,TP,4
2025-03-22,2025-03-24,Forniture per ufficio,Scaffalature,4037.66,1193.27,Nord-Ovest,GE,6
2026-01-27,2026-01-29,Tecnologia,Telefoni,695.92,161.38,Nord-Ovest,VA,7
2025-06-12,2025-06-13,Forniture per ufficio,Materiale artistico,5256.88,1567.75,Centro,RM,6
2026-02-23,2026-02-27,Forniture per ufficio,Scaffalature,1598.15,97.62,Nord-Ovest,GE,5
2025-10-16,2025-10-21,Arredamento,Complementi d'arredo,1132.13,221.22,Isole,AG,3
2026-01-14,2026-01-17,Arredamento,Librerie,2826.4,569.21,Sud,CZ,4
2025-09-18,2025-09-19,Tecnologia,Accessori,2689.66,207.68,Centro,FI,9
2025-08-19,2025-08-23,Arredamento,Sedie,1144.31,326.58,Centro,PG,8
2025-02-10,2025-02-13,Tecnologia,Accessori,938.8,-72.47,Centro,RM,9
2025-01-28,2025-01-30,Tecnologia,Fotocopiatrici,1743.46,270.43,Sud,PA,7
2025-05-15,2025-05-17,Tecnologia,Fotocopiatrici,2086.57,1.93,Nord-Est,BO,3
2025-07-20,2025-07-23,Forniture per ufficio,Raccoglitori,977.49,115.25,Nord-Est,TN,1
2025-11-24,2025-11-25,Forniture per ufficio,Scaffalature,824.55,148.99,Centro,PG,4
2025-09-25,2025-09-27,Forniture per ufficio,Materiale artistico,2695.6,520.13,Centro,PG,5
2026-02-22,2026-02-27,Arredamento,Sedie,1901.74,545.07,Nord-Ovest,MI,6
2025-02-02,2025-02-08,Tecnologia,Macchine,3356.77,725.08,Nord-Ovest,GE,6
2025-02-17,2025-02-24,Forniture per ufficio,Materiale artistico,3512.54,-264.09,Centro,PG,9
2026-02-11,2026-02-14,Tecnologia,Telefoni,1994.82,596.65,Sud,BA,3
2025-03-03,2025-03-06,Forniture per ufficio,Carta,7888.71,-788.28,Sud,NA,8
2025-08-04,2025-08-06,Tecnologia,Fotocopiatrici,3931.61,-296.53,Isole,AG,6
2025-10-20,2025-10-21,Tecnologia,Telefoni,915.89,-19.18,Nord-Est,BO,6
2025-04-09,2025-04-14,Forniture per ufficio,Carta,826.87,29.13,Nord-Ovest,GE,2
2025-06-21,2025-06-22,Arredamento,Complementi d'arredo,114.65,16.97,Isole,AG,2
2025-12-26,2025-12-30,Forniture per ufficio,Carta,4223.28,1050.61,Sud,NA,7
2025-08-02,2025-08-06,Tecnologia,Macchine,928.68,104.0,Isole,AG,3
2025-02-04,2025-02-10,Tecnologia,Fotocopiatrici,505.25,36.94,Nord-Ovest,TO,3
2025-08-15,2025-08-17,Arredamento,Sedie,3587.09,-70.64,Nord-Est,TN,7
2025-04-11,2025-04-13,Forniture per ufficio,Scaffalature,3151.2,34.12,Nord-Est,TN,4
2025-05-11,2025-05-13,Tecnologia,Telefoni,2374.2,136.88,Nord-Ovest,GE,7
2025-09-14,2025-09-20,Forniture per ufficio,Scaffalature,151.42,39.07,Isole,SS,5
2025-01-05,2025-01-09,Forniture per ufficio,Raccoglitori,6880.1,-450.97,Sud,BA,7
2025-08-06,2025-08-07,Tecnologia,Telefoni,2255.29,355.39,Nord-Ovest,GE,5
2025-09-12,2025-09-18,Arredamento,Complementi d'arredo,6330.49,337.33,Nord-Est,BO,7
2026-02-02,2026-02-08,Arredamento,Tavoli,861.69,4.99,Nord-Ovest,VA,4
2025-12-25,2025-12-26,Forniture per ufficio,Raccoglitori,2860.76,223.58,Nord-Est,TN,6
2025-10-10,2025-10-12,Arredamento,Librerie,4290.91,-50.65,Centro,LI,7
2026-01-28,2026-02-02,Tecnologia,Telefoni,470.37,66.67,Nord-Ovest,TO,6
2025-07-26,2025-07-27,Forniture per ufficio,Raccoglitori,2704.32,406.0,Centro,FI,7
2025-01-15,2025-01-19,Tecnologia,Fotocopiatrici,210.38,12.44,Centro,PG,3
2025-12-12,2025-12-15,Arredamento,Sedie,2281.66,-50.96,Centro,PG,8
2025-02-11,2025-02-14,Tecnologia,Macchine,269.2,34.87,Centro,RM,3
2026-01-15,2026-01-22,Arredamento,Librerie,338.6,-20.59,Nord-Ovest,VA,5
2025-06-28,2025-07-05,Forniture per ufficio,Carta,4275.22,344.06,Nord-Ovest,TO,8
2025-03-04,2025-03-10,Forniture per ufficio,Scaffalature,372.98,-18.36,Nord-Ovest,MI,2
2025-12-18,2025-12-21,Forniture per ufficio,Carta,701.31,123.63,Nord-Ovest,VA,9
2025-08-19,2025-08-24,Arredamento,Librerie,1357.88,-43.52,Nord-Ovest,TO,2
2025-08-29,2025-08-31,Tecnologia,Macchine,3844.21,-347.51,Centro,LI,9
2025-02-21,2025-02-25,Arredamento,Complementi d'arredo,2905.34,348.48,Nord-Ovest,TO,3
2025-04-06,2025-04-13,Tecnologia,Accessori,575.13,-16.33,Isole,CA,5
2026-01-23,2026-01-28,Tecnologia,Accessori,910.82,29.87,Nord-Est,VR,7
2025-08-10,2025-08-14,Tecnologia,Telefoni,5890.58,1399.02,Nord-Est,BO,9
2026-02-11,2026-02-15,Tecnologia,Telefoni,4413.83,423.5,Nord-Est,VR,6
2025-08-19,2025-08-21,Arredamento,Librerie,1183.64,260.0,Centro,PG,6
2025-08-25,2025-08-31,Forniture per ufficio,Materiale artistico,835.96,185.3,Sud,CZ,1
2025-05-23,2025-05-26,Arredamento,Tavoli,471.56,31.28,Nord-Ovest,MI,3
2025-06-20,2025-06-22,Forniture per ufficio,Raccoglitori,915.08,155.73,Sud,BA,6
2025-01-29,2025-02-03,Arredamento,Tavoli,4062.47,299.08,Sud,PA,7
2025-02-05,2025-02-11,Arredamento,Sedie,2209.98,370.59,Nord-Ovest,MI,6
2025-01-13,2025-01-18,Tecnologia,Fotocopiatrici,1168.16,-41.37,Isole,TP,2
2025-06-09,2025-06-15,Arredamento,Librerie,175.54,40.55,Centro,RM,2
2025-11-23,2025-11-30,Tecnologia,Accessori,2821.41,90.92,Nord-Est,TN,4
2025-07-06,2025-07-11,Arredamento,Sedie,3701.62,533.19,Nord-Ovest,GE,5
2025-08-31,2025-09-02,Arredamento,Sedie,2584.3,361.08,Sud,NA,6
2025-03-27,2025-04-02,Arredamento,Tavoli,854.41,224.89,Nord-Ovest,TO,2
2025-10-11,2025-10-17,Arredamento,Tavoli,1885.29,-57.0,Isole,TP,2
2025-03-07,2025-03-11,Tecnologia,Telefoni,374.41,-18.66,Centro,FI,1
2025-06-19,2025-06-23,Tecnologia,Accessori,379.02,92.73,Nord-Ovest,VA,9
2025-02-14,2025-02-15,Tecnologia,Accessori,1268.86,283.41,Nord-Ovest,VA,2
2025-03-03,2025-03-08,Arredamento,Complementi d'arredo,340.87,-11.64,Centro,RM,1
2025-05-14,2025-05-18,Tecnologia,Accessori,3587.16,-262.04,Nord-Est,VE,6
2025-10-11,2025-10-12,Arredamento,Complementi d'arredo,2067.43,27.53,Centro,PG,9
2025-01-28,2025-02-04,Arredamento,Sedie,5403.99,1185.97,Sud,PA,8
2025-04-18,2025-04-25,Arredamento,Complementi d'arredo,2851.5,470.57,Centro,RM,4
2025-02-13,2025-02-17,Tecnologia,Accessori,3988.04,750.0,Nord-Est,VE,4
2025-12-06,2025-12-11,Tecnologia,Telefoni,1393.89,-138.87,Centro,LI,9
2025-10-13,2025-10-19,Arredamento,Sedie,2040.23,346.75,Nord-Est,VE,4
2025-11-27,2025-11-30,Forniture per ufficio,Materiale artistico,2284.42,146.83,Nord-Ovest,VA,7
2025-05-08,2025-05-13,Tecnologia,Fotocopiatrici,2665.69,-105.17,Isole,TP,3
2025-12-14,2025-12-16,Tecnologia,Accessori,1036.72,174.88,Sud,CZ,7
2025-08-19,2025-08-26,Arredamento,Tavoli,3600.57,89.57,Sud,BA,7
2025-07-09,2025-07-13,Forniture per ufficio,Scaffalature,1237.9,76.91,Sud,CZ,5
2025-08-13,2025-08-17,Tecnologia,Accessori,3035.31,625.51,Nord-Ovest,VA,9
2026-01-20,2026-01-26,Forniture per ufficio,Raccoglitori,1556.57,55.56,Centro,FI,4
2026-01-12,2026-01-14,Arredamento,Complementi d'arredo,661.21,147.8,Centro,LI,2
2025-10-10,2025-10-16,Forniture per ufficio,Raccoglitori,6020.6,1239.4,Isole,CA,7
2025-05-01,2025-05-03,Arredamento,Tavoli,4133.34,134.94,Nord-Est,BO,6
2025-04-26,2025-04-29,Arredamento,Tavoli,959.78,-71.53,Centro,FI,3
2025-08-21,2025-08-28,Tecnologia,Accessori,2860.02,90.17,Isole,SS,3
2025-09-16,2025-09-20,Tecnologia,Accessori,2840.5,71.49,Centro,LI,3
2025-12-25,2025-12-29,Tecnologia,Fotocopiatrici,605.88,-40.72,Nord-Ovest,MI,1
2025-07-17,2025-07-20,Forniture per ufficio,Materiale artistico,556.44,-43.71,Centro,PG,3
2026-02-15,2026-02-16,Tecnologia,Telefoni,638.33,-14.16,Centro,LI,6
2025-05-17,2025-05-24,Tecnologia,Fotocopiatrici,205.41,38.65,Nord-Est,VE,1
2025-11-14,2025-11-20,Arredamento,Librerie,4908.08,1339.88,Nord-Ovest,GE,5
2025-06-14,2025-06-17,Tecnologia,Accessori,318.16,-14.09,Centro,LI,1
2025-08-13,2025-08-19,Forniture per ufficio,Carta,2176.8,533.31,Nord-Est,BO,6
2025-11-03,2025-11-08,Tecnologia,Macchine,1346.78,391.96,Centro,FI,9
2025-08-22,2025-08-26,Arredamento,Complementi d'arredo,75.04,0.17,Sud,NA,1
2025-06-21,2025-06-27,Forniture per ufficio,Raccoglitori,903.7,227.7,Isole,SS,2
2025-06-01,2025-06-03,Tecnologia,Macchine,491.2,28.83,Isole,CA,6
2025-11-11,2025-11-17,Forniture per ufficio,Raccoglitori,5431.13,358.77,Isole,SS,9
2026-01-09,2026-01-14,Arredamento,Sedie,2691.47,649.44,Isole,SS,3
2025-06-09,2025-06-16,Arredamento,Librerie,5299.5,557.24,Nord-Ovest,VA,7
2025-04-06,2025-04-10,Forniture per ufficio,Carta,4019.01,1078.21,Nord-Ovest,GE,9
2025-08-21,2025-08-24,Tecnologia,Telefoni,3872.89,-47.04,Isole,AG,9
2025-06-29,2025-07-04,Arredamento,Librerie,4484.68,-147.43,Sud,BA,6
2025-04-23,2025-04-27,Forniture per ufficio,Scaffalature,6511.62,470.23,Nord-Ovest,TO,7
2025-11-14,2025-11-20,Arredamento,Tavoli,724.34,-40.39,Centro,PG,1
2025-02-21,2025-02-28,Forniture per ufficio,Carta,412.16,-34.79,Nord-Est,BO,2
2025-09-25,2025-09-26,Arredamento,Complementi d'arredo,455.3,77.51,Nord-Est,VR,1
2025-10-22,2025-10-29,Forniture per ufficio,Raccoglitori,178.27,37.65,Nord-Est,BO,6
2026-01-21,2026-01-22,Forniture per ufficio,Materiale artistico,2674.48,334.23,Centro,PG,8
2026-01-22,2026-01-24,Forniture per ufficio,Carta,3969.17,964.56,Nord-Est,VE,4
2025-04-23,2025-04-30,Tecnologia,Telefoni,241.58,14.83,Isole,SS,9
2025-04-11,2025-04-15,Tecnologia,Macchine,3323.89,-331.59,Centro,FI,4
2025-04-23,2025-04-24,Arredamento,Tavoli,4374.66,-113.88,Nord-Ovest,MI,8
2025-03-22,2025-03-25,Forniture per ufficio,Scaffalature,1128.02,85.12,Nord-Ovest,GE,3
2025-07-06,2025-07-10,Tecnologia,Macchine,4916.7,1160.34,Isole,TP,9
2025-04-23,2025-04-26,Forniture per ufficio,Materiale artistico,328.34,55.69,Nord-Est,BO,1
2025-01-02,2025-01-09,Tecnologia,Accessori,989.58,-71.04,Centro,LI,7
2025-05-10,2025-05-13,Tecnologia,Accessori,3469.44,-182.27,Isole,CA,4
2025-08-08,2025-08-09,Arredamento,Librerie,4312.26,-140.04,Nord-Ovest,GE,5
2025-02-23,2025-02-27,Arredamento,Tavoli,839.69,84.8,Nord-Est,TN,1
2025-12-09,2025-12-15,Arredamento,Sedie,1506.65,20.6,Centro,PG,7
2025-08-12,2025-08-17,Tecnologia,Accessori,4202.64,758.05,Isole,AG,7
2025-08-13,2025-08-14,Forniture per ufficio,Raccoglitori,3969.79,255.98,Nord-Ovest,MI,6
2026-01-20,2026-01-21,Arredamento,Tavoli,4783.6,-56.43,Isole,SS,6
2026-02-07,2026-02-13,Arredamento,Librerie,1929.9,555.51,Nord-Est,VE,7
2025-05-06,2025-05-10,Arredamento,Librerie,2830.61,790.06,Sud,NA,7
2025-05-10,2025-05-14,Arredamento,Tavoli,4394.86,400.36,Nord-Est,VE,7
2025-02-22,2025-03-01,Arredamento,Tavoli,624.53,-25.98,Centro,PG,3
2025-06-21,2025-06-24,Arredamento,Sedie,1851.18,422.31,Centro,FI,2
2025-08-06,2025-08-13,Arredamento,Tavoli,2213.03,-89.84,Sud,CZ,6
2025-06-09,2025-06-15,Forniture per ufficio,Carta,437.48,125.6,Sud,NA,1
2025-07-17,2025-07-24,Tecnologia,Accessori,4758.25,525.47,Centro,LI,8
2026-02-20,2026-02-26,Forniture per ufficio,Scaffalature,966.13,49.55,Sud,NA,2
2025-09-04,2025-09-08,Forniture per ufficio,Scaffalature,6211.73,-558.19,Isole,TP,9
2025-11-20,2025-11-23,Tecnologia,Accessori,5558.55,-20.45,Nord-Ovest,GE,9
2025-07-22,2025-07-29,Forniture per ufficio,Raccoglitori,1783.33,209.7,Isole,AG,8
2025-07-03,2025-07-04,Arredamento,Sedie,2345.76,527.63,Nord-Est,TN,9
2025-05-03,2025-05-05,Arredamento,Sedie,5763.21,-22.55,Isole,SS,8
2026-02-05,2026-02-10,Forniture per ufficio,Scaffalature,211.55,-7.09,Isole,AG,1
2025-09-12,2025-09-13,Arredamento,Sedie,8031.89,-434.02,Nord-Est,VE,9
2025-10-21,2025-10-25,Forniture per ufficio,Scaffalature,4699.09,-367.45,Sud,CZ,8
2025-10-07,2025-10-12,Arredamento,Librerie,4375.87,-285.12,Centro,PG,5
2025-11-21,2025-11-23,Forniture per ufficio,Raccoglitori,455.96,43.6,Nord-Est,VR,1
2026-01-07,2026-01-09,Forniture per ufficio,Raccoglitori,313.25,22.66,Nord-Est,BO,1
2025-04-08,2025-04-11,Tecnologia,Fotocopiatrici,5853.95,1722.86,Centro,RM,7
2025-07-17,2025-07-22,Arredamento,Tavoli,6785.11,393.68,Sud,CZ,8
2026-01-30,2026-02-02,Arredamento,Sedie,6031.87,258.12,Nord-Est,VR,8
2025-08-28,2025-08-29,Tecnologia,Telefoni,3464.97,-309.26,Centro,FI,7
2025-05-24,2025-05-30,Tecnologia,Fotocopiatrici,877.13,78.98,Sud,CZ,2
2025-04-07,2025-04-13,Forniture per ufficio,Materiale artistico,5496.47,916.22,Nord-Ovest,MI,8
2025-07-20,2025-07-26,Arredamento,Complementi d'arredo,83.29,3.6,Sud,CZ,2
2025-05-04,2025-05-09,Arredamento,Librerie,340.16,65.05,Nord-Ovest,TO,2
2025-07-06,2025-07-12,Tecnologia,Fotocopiatrici,1716.88,115.57,Sud,CZ,2
2025-11-22,2025-11-23,Tecnologia,Accessori,3043.85,-87.16,Sud,NA,6
2025-12-15,2025-12-18,Forniture per ufficio,Materiale artistico,3632.2,208.69,Sud,PA,6
2025-09-16,2025-09-21,Tecnologia,Macchine,3489.03,-225.9,Centro,FI,4
2025-05-28,2025-05-31,Tecnologia,Fotocopiatrici,546.57,99.83,Isole,TP,3
2025-09-09,2025-09-14,Arredamento,Sedie,1365.07,-113.85,Centro,RM,6
2026-02-24,2026-02-27,Arredamento,Sedie,7440.2,1454.54,Centro,FI,8
2026-02-07,2026-02-09,Tecnologia,Accessori,3222.22,11.48,Nord-Est,TN,6
2025-12-12,2025-12-15,Arredamento,Tavoli,796.05,178.82,Nord-Est,VE,1
2025-05-27,2025-06-02,Arredamento,Complementi d'arredo,784.29,115.19,Sud,BA,2
2025-05-28,2025-05-30,Forniture per ufficio,Raccoglitori,726.71,-19.25,Centro,FI,1
2025-12-18,2025-12-21,Arredamento,Librerie,5493.78,526.93,Centro,PG,9
2025-07-18,2025-07-23,Forniture per ufficio,Scaffalature,854.42,189.74,Sud,NA,4
2025-11-04,2025-11-09,Arredamento,Tavoli,4529.73,1005.81,Sud,NA,6
2026-02-21,2026-02-26,Forniture per ufficio,Carta,3586.27,111.73,Sud,CZ,7
2026-02-28,2026-03-04,Forniture per ufficio,Carta,2097.58,562.6,Isole,AG,6
2025-05-08,2025-05-09,Forniture per ufficio,Carta,163.69,4.89,Nord-Ovest,GE,2
2025-02-08,2025-02-13,Arredamento,Complementi d'arredo,3456.8,247.71,Isole,CA,7
2025-12-04,2025-12-06,Arredamento,Complementi d'arredo,6960.35,-523.57,Sud,CZ,9
